6041,356,3,1446068037
6041,480,4,1446068041
6041,260,5,1446068045
6041,1,3,1446068046
6041,2571,4,1446068048
6041,589,3,1446068051
6041,110,4,1446068053
6041,780,3,1446068060
6041,592,3,1446068064
6041,32,4,1446068080
6041,1210,5,1446068082
6041,1196,5,1446068083
6041,1270,5,1446068085
6041,1198,5,1446068086
6041,588,3,1446068088
6041,47,4,1446068093
6041,4993,5,1446068098
6041,377,2,1446068100
6041,2959,5,1446068104
6041,364,4,1446068106
6041,858,3,1446068107
6041,344,1,1446068110
6041,2762,4,1446068111
6041,595,2,1446068136
6041,5952,5,1446068138
6041,7153,5,1446068139
6041,3578,4,1446068141
6041,597,1,1446068145
6041,4306,3,1446068147
6041,1580,3,1446068149
6041,153,3,1446068153
6041,1097,2,1446068156
6041,1136,1,1446068159
6041,1214,4,1446068176
6041,2716,3,1446068178
6041,367,2,1446068181
6041,541,5,1446068188
6041,1291,5,1446068192
6041,231,1,1446068196
6041,34,2,1446068198
6041,316,3,1446068200
6041,1721,3,1446068205
6041,1240,3,1446068220
6041,736,2,1446068230
6041,587,2,1446068232
6041,10,3,1446068236
6041,924,4,1446068238
6041,3793,3,1446068241
6041,2628,3,1446068245
6041,4886,3,1446068247
6041,6539,3,1446068251
6041,1682,4,1446068253
6041,1527,3,1446068270
6041,2683,1,1446068276
6041,4963,4,1446068291
6041,1221,4,1446068295
6041,1923,2,1446068300
6041,2396,3,1446068304
6041,1517,1,1446068306
6041,2706,2,1446068308
6041,2355,3,1446068322
6041,4995,4,1446068336
6041,4973,3,1446068339
6041,3114,3,1446068341
6041,5349,3,1446068348
6041,1917,3,1446068352
6041,58559,5,1446068353
6041,33794,3,1446068363
6041,2012,4,1446068377
6041,5418,3,1446068383
6041,19,1,1446068389
6041,1080,1,1446068391
6041,2115,5,1446068410
6041,2,3,1446068412
6041,2987,2,1446068425
6041,2011,5,1446068436
6041,2617,4,1446068463
6041,5378,4,1446068473
6041,2916,2,1446068495
6041,5989,3,1446068499
6041,594,2,1446068502
6041,1407,2,1446068516
6041,8360,3,1446068549
6041,8665,3,1446068557
6041,1028,2,1446068561
6041,8636,3,1446068567
6041,6333,3,1446068568
6041,1641,3,1446068571
6041,2700,4,1446068582
6041,33493,4,1446068597
